State,city,restaurant_name,Location,cuisine_type,Dish Name,cost,rating,rating_count,order_id,latitude,longitude,distance_km,traffic_level,food_preparation_time,delivery_time,total_time,expected_time,delivery_delay,delay_category,order_hour,time_of_day,peak_hour_flag,day_of_the_week,sentiment_score,sentiment
Punjab,Chandigarh,Amritsari Food Platter,Sector 125 Mohali,Recommended,Cheese Fried Rice,199.0,4.7,26,1000000,12.943635,77.668999,5.18,High,33,32,65,58,7,Slightly Delayed,12,Afternoon,0,Weekday,0.925,Positive
Mizoram,Aizawl,Domino'S Pizza,Only_Dominos_Aizawl,Flavours Of India,Corn n Cheese Paratha Pizza,209.0,3.6,2,1000001,13.087679,77.505354,2.33,High,22,14,36,36,0,On Time,17,Evening,0,Weekday,0.65,Neutral
Karnataka,Bengaluru,Eatfit,Whitefield,Healthy Bowls,Beetroot Hummus Millet Bowl Veg,385.0,4.2,3,1000002,13.032998,77.553992,2.77,Low,44,13,57,59,-2,On Time,21,Night,1,Weekday,0.8,Positive
Delhi,New Delhi,Hira Sweets,Indirapuram,Tandoor Se,Laccha Paratha ( 1 Pc ),75.0,4.3,298,1000003,12.999665,77.648984,3.53,Low,25,13,38,43,-5,On Time,8,Morning,0,Weekday,0.825,Positive
Rajasthan,Jaipur,Burger Farm,Jagatpura,Cheese Burst Burger Meals,Devils Chicken Delight Cheeseburst Meal,293.3,5.0,3,1000004,12.889005,77.594627,3.85,Low,13,12,25,33,-8,Early,15,Afternoon,0,Weekday,1.0,Positive
Himachal Pradesh,Shimla,Premjees,Solan Town,Sweets,PANEER JALEBI LG,540.0,4.8,4,1000005,12.888999,77.671571,4.39,Medium,12,21,33,34,-1,On Time,20,Night,1,Weekday,0.95,Positive
Telangana,Hyderabad,Mcdonald'S,Pocharam,Group Sharing Combos,Burger Combo for 2: McChicken Burger with Pizza McPuff,444.76,4.7,12,1000006,12.864521,77.738362,4.58,Medium,43,22,65,65,0,On Time,23,Night,0,Weekday,0.925,Positive
Tripura,Agartala,Anna (Truly Veg),HGB Road,Thali,Anna office party thali,180.0,4.1,98,1000007,13.066544,77.484964,7.38,Medium,24,30,54,57,-3,On Time,14,Afternoon,1,Weekday,0.7749999999999999,Positive
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,"Hope Farm, Varthur Main Road",Classic & Nuts Ice Creams,Butterscotch Ribbon Ice Cream,75.0,4.5,190,1000008,13.000279,77.66287,8.13,Medium,40,34,74,76,-2,On Time,8,Morning,0,Weekday,0.875,Positive
Karnataka,Bengaluru,Pizza Hut,Banashankari,Garlic Bread,Classic Bread Stix,119.0,4.0,120,1000009,13.027018,77.519103,5.32,High,10,30,40,35,5,On Time,18,Evening,0,Weekend,0.75,Positive
Rajasthan,Jaipur,Kfc,Vaishali Nagar,Epic Savings Bucket For 3-4 (Up To 32% Off),Ultimate Savings Chicken Bucket,749.0,4.1,271,1000010,12.855146,77.574343,13.7,Jam,10,107,117,68,49,Heavily Delayed,14,Afternoon,1,Weekend,0.7749999999999999,Positive
Punjab,Chandigarh,Burger King,Panchkula,Kings Collection ( Premium Burgers ),Chicken Tandoori Burger.,299.0,3.9,55,1000011,13.092477,77.459859,8.74,Medium,42,39,81,81,0,On Time,22,Night,0,Weekday,0.725,Neutral
Rajasthan,Jaipur,Dmb(Doodh Misthan Bhandar),Bani Park,Namkeen,Bikaneni Bhujiya,140.0,4.3,32,1000012,13.058111,77.490772,12.02,High,35,63,98,86,12,Slightly Delayed,15,Afternoon,0,Weekday,0.825,Positive
Jammu and Kashmir,Srinagar,Mad For Momos,City Walk,Momos 5 Pcs,Chicken Schezwan Momos [5 Pcs ],116.0,4.5,9,1000013,12.903085,77.545933,13.94,High,10,74,84,69,15,Slightly Delayed,17,Evening,0,Weekday,0.875,Positive
Maharashtra,Mumbai,Barbecue By Punjab Grill,"Seawoods, Merul",Recommended,Bhatti Ka Tandoori Murgh,425.0,4.1,5,1000014,12.895456,77.552596,3.28,Low,25,13,38,42,-4,On Time,19,Evening,1,Weekday,0.7749999999999999,Positive
Karnataka,Bengaluru,Lunchbox  Meals And Thalis,Navaratan Gardens,Kulcha Lunchbox,Pindi Chole with Kulcha Lunchbox,219.0,3.9,8,1000015,12.895851,77.719876,6.99,Medium,44,28,72,76,-4,On Time,8,Morning,0,Weekday,0.725,Neutral
Uttarakhand,Dehradun,Badmaash Kebabi,"Mall Of Dehradun , Miyanwala",Tandoori Special,Afghani Chicken,449.0,3.5,2,1000016,12.926061,77.672544,7.06,High,17,41,58,49,9,Slightly Delayed,9,Morning,0,Weekday,0.625,Neutral
Odisha,Bhubaneswar,China Belly By Wow! Momo,Patrapada,Starter,Chilli Chicken Dry,279.0,4.5,4,1000017,12.981189,77.741655,5.96,Low,44,24,68,72,-4,On Time,9,Morning,0,Weekday,0.875,Positive
Uttar Pradesh,Lucknow,La Pino'Z Pizza,Indira Nagar,Dotd,Capsicum Pizza Regular,125.0,4.0,14,1000018,12.957986,77.629721,1.12,Low,11,10,21,20,1,On Time,10,Morning,0,Weekend,0.75,Positive
Gujarat,Ahmedabad,Jay Bhavani Vadapav,Sola,Maggi,Vegetable Maggi Cheese (350 Gm),110.0,4.2,1,1000019,12.922807,77.522514,12.42,High,27,65,92,80,12,Slightly Delayed,16,Evening,0,Weekend,0.8,Positive
Uttar Pradesh,Lucknow,Kwality Walls Ice Cream And More,Kamla Nehru Nagar,Cornetto.,Cornetto Strawberry Vanilla (105ml x 3 pcs),101.69,4.8,3,1000020,13.002963,77.548297,2.56,Low,19,13,32,33,-1,On Time,21,Night,1,Weekday,0.95,Positive
Maharashtra,Mumbai,La Pino'Z Pizza,HAWRE CENTURION MALL,Dotd,Sweet Heat Pizza Regular,286.0,4.1,1,1000021,12.884873,77.545951,14.94,High,19,80,99,82,17,Heavily Delayed,23,Night,0,Weekend,0.7749999999999999,Positive
Kerala,Kochi,The Good Bowl,Edappally,Starters,Potato Chilli Shots with Mayo Dip,109.0,4.4,18,1000022,12.923036,77.547948,11.82,Medium,21,53,74,72,2,On Time,22,Night,0,Weekday,0.8500000000000001,Positive
