restaurant_id,restaurant_name,cuisine_type
1,Amritsari Food Platter,Recommended
2,Domino'S Pizza,Flavours Of India
3,Eatfit,Healthy Bowls
4,Hira Sweets,Tandoor Se
5,Burger Farm,Cheese Burst Burger Meals
6,Premjees,Sweets
7,Mcdonald'S,Group Sharing Combos
8,Anna (Truly Veg),Thali
9,Baskin Robbins - Ice Cream Desserts,Classic & Nuts Ice Creams
10,Pizza Hut,Garlic Bread
11,Kfc,Epic Savings Bucket For 3-4 (Up To 32% Off)
12,Burger King,Kings Collection ( Premium Burgers )
13,Dmb(Doodh Misthan Bhandar),Namkeen
14,Mad For Momos,Momos 5 Pcs
15,Barbecue By Punjab Grill,Recommended
16,Lunchbox  Meals And Thalis,Kulcha Lunchbox
17,Badmaash Kebabi,Tandoori Special
18,China Belly By Wow! Momo,Starter
19,La Pino'Z Pizza,Dotd
20,Jay Bhavani Vadapav,Maggi
21,Kwality Walls Ice Cream And More,Cornetto.
22,The Good Bowl,Starters
23,Momo Magic Cafe,Chinese
24,Cheesecake & Co.,Cake
25,Kfc,Flat 179 Meals/Bucket
26,Burger King,Korean Spicy Fest(Limited Time Only)
27,Mojo Pizza - 2X Toppings,"Thin Crust Pizzas [Big 10""]"
28,House Of Idlies,Dinner Special
29,Sweet Truth - Cake And Desserts,Cheesecake Slices
30,Sangeetha'S Desi Mane - Annanagar,Special Bread Toast
31,Cafe Cotinga,Coffee
32,Logo Cafe,Breakfast
33,Kfc,Desserts & Beverages
34,Mughlai Restaurant,Rice
35,Taste With Me !,Rice
36,Lunchbox - Meals And Thalis,Upwas Specials
37,Taste With Me !,Combo Item
38,Pizza Hut,"Buy 1 Pizza Get 2 Sides, 1 Pepsi Free"
39,Kfc,Recommended
40,Kfc,Burgers
41,Chinese Wok,Recommended
42,Friends Corner,Non Veg Starters
43,Nic Ice Creams,500 Ml Ice Creams
44,Rnr Biryani - Taste Of 1953,Beverages
45,Lamee,Pork
46,Gopal Mistanna Bhandar,Chaat
47,Pizza Hut,Flash Sale Pizzas
48,Domino'S Pizza,Loaded Pizza
49,Domino'S Pizza,Dominos Classics
50,Burger King,Recommended
51,Caterspoint,Pasta - Penne | Spaghetti
52,The Phoenix Residency,Indian Breads
53,Labonel Fine Baking,Brownies
54,The Bon Bon Bakers,Pastry
55,Sweet Truth - Cake And Desserts,Recommended
56,Aurora Restaurant & Lodging,Chow
57,Dindigul Thalappakatti - Since 1957,Kebabs & Barbeque
58,Suchali'S Artisan Bakehouse,Freshly Baked Breads
