order_id,customer_id,restaurant_id,cost,rating,food_preparation_time,delivery_time,total_time,delivery_delay,distance_km,order_hour,time_of_day,peak_hour_flag,traffic_level,delay_category,day_of_the_week,sentiment,sentiment_score,latitude,longitude
1000000,282,4963,199.0,4.7,33,32,65,7,5.18,12,Afternoon,0,High,Slightly Delayed,Weekday,Positive,0.925,12.943635,77.668999
1000001,609,4757,209.0,3.6,22,14,36,0,2.33,17,Evening,0,High,On Time,Weekday,Neutral,0.65,13.087679,77.505354
1000002,255,4114,385.0,4.2,44,13,57,-2,2.77,21,Night,1,Low,On Time,Weekday,Positive,0.8,13.032998,77.553992
1000003,977,4714,75.0,4.3,25,13,38,-5,3.53,8,Morning,0,Low,On Time,Weekday,Positive,0.825,12.999665,77.648984
1000004,708,4959,293.3,5.0,13,12,25,-8,3.85,15,Afternoon,0,Low,Early,Weekday,Positive,1.0,12.889005,77.594627
1000005,697,6,540.0,4.8,12,21,33,-1,4.39,20,Night,1,Medium,On Time,Weekday,Positive,0.95,12.888999,77.671571
1000006,710,3804,444.76,4.7,43,22,65,0,4.58,23,Night,0,Medium,On Time,Weekday,Positive,0.925,12.864521,77.738362
1000007,903,4622,180.0,4.1,24,30,54,-3,7.38,14,Afternoon,1,Medium,On Time,Weekday,Positive,0.7749999999999999,13.066544,77.484964
1000008,869,4844,75.0,4.5,40,34,74,-2,8.13,8,Morning,0,Medium,On Time,Weekday,Positive,0.875,13.000279,77.66287
1000009,687,2624,119.0,4.0,10,30,40,5,5.32,18,Evening,0,High,On Time,Weekend,Positive,0.75,13.027018,77.519103
1000010,240,3255,749.0,4.1,10,107,117,49,13.7,14,Afternoon,1,Jam,Heavily Delayed,Weekend,Positive,0.7749999999999999,12.855146,77.574343
1000011,153,3056,299.0,3.9,42,39,81,0,8.74,22,Night,0,Medium,On Time,Weekday,Neutral,0.725,13.092477,77.459859
1000012,647,3484,140.0,4.3,35,63,98,12,12.02,15,Afternoon,0,High,Slightly Delayed,Weekday,Positive,0.825,13.058111,77.490772
1000013,593,4690,116.0,4.5,10,74,84,15,13.94,17,Evening,0,High,Slightly Delayed,Weekday,Positive,0.875,12.903085,77.545933
1000014,381,15,425.0,4.1,25,13,38,-4,3.28,19,Evening,1,Low,On Time,Weekday,Positive,0.7749999999999999,12.895456,77.552596
